t_s,hops_fwd,hops_rev,rtt_prop_ms,path_changed,path_fwd
3.5,12,12,98.488,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.6,12,12,98.484,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.7,12,12,98.480,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.8,12,12,98.476,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
3.9,12,12,98.471,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.0,12,12,98.467,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.1,12,12,98.463,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.2,12,12,98.459,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.3,12,12,98.455,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.4,12,12,98.451,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.5,12,12,98.447,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.6,12,12,98.442,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.7,12,12,98.438,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.8,12,12,98.434,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
4.9,12,12,98.430,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.0,12,12,98.426,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.1,12,12,98.422,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.2,12,12,98.418,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.3,12,12,98.414,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.4,12,12,98.410,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.5,12,12,98.406,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.6,12,12,98.402,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.7,12,12,98.398,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.8,12,12,98.393,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
5.9,12,12,98.389,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.0,12,12,98.385,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.1,12,12,98.381,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.2,12,12,98.377,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.3,12,12,98.373,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.4,12,12,98.369,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.5,12,12,98.365,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.6,12,12,98.361,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.7,12,12,98.357,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.8,12,12,98.353,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
6.9,12,12,98.349,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.0,12,12,98.345,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.1,12,12,98.341,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.2,12,12,98.337,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.3,12,12,98.333,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.4,12,12,98.329,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.5,12,12,98.325,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.6,12,12,98.322,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.7,12,12,98.318,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.8,12,12,98.314,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
7.9,12,12,98.310,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.0,12,12,98.306,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.1,12,12,98.302,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.2,12,12,98.298,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.3,12,12,98.294,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.4,12,12,98.290,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.5,12,12,98.286,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.6,12,12,98.282,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.7,12,12,98.278,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.8,12,12,98.275,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
8.9,12,12,98.271,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.0,12,12,98.267,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.1,12,12,98.263,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.2,12,12,98.259,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.3,12,12,98.255,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.4,12,12,98.252,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.5,12,12,98.248,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.6,12,12,98.244,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.7,12,12,98.240,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.8,12,12,98.236,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
9.9,12,12,98.232,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.0,12,12,98.229,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.1,12,12,98.225,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.2,12,12,98.221,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.3,12,12,98.217,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.4,12,12,98.213,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.5,12,12,98.210,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.6,12,12,98.206,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.7,12,12,98.202,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.8,12,12,98.198,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
10.9,12,12,98.195,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.0,12,12,98.191,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.1,12,12,98.187,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.2,12,12,98.183,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.3,12,12,98.180,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.4,12,12,98.176,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.5,12,12,98.172,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.6,12,12,98.169,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.7,12,12,98.165,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.8,12,12,98.161,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
11.9,12,12,98.158,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.0,12,12,98.154,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.1,12,12,98.150,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.2,12,12,98.147,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.3,12,12,98.143,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.4,12,12,98.139,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.5,12,12,98.136,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.6,12,12,98.132,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.7,12,12,98.128,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.8,12,12,98.125,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
12.9,12,12,98.121,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.0,12,12,98.117,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.1,12,12,98.114,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.2,12,12,98.110,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.3,12,12,98.107,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.4,12,12,98.103,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.5,12,12,98.099,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.6,12,12,98.096,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.7,12,12,98.092,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.8,12,12,98.089,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
13.9,12,12,98.085,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.0,12,12,98.082,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.1,12,12,98.078,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.2,12,12,98.074,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.3,12,12,98.071,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.4,12,12,98.067,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.5,12,12,98.064,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.6,12,12,98.060,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.7,12,12,98.057,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.8,12,12,98.053,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
14.9,12,12,98.050,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.0,12,12,98.046,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.1,12,12,98.043,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.2,12,12,98.039,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.3,12,12,98.036,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.4,12,12,98.032,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.5,12,12,98.029,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.6,12,12,98.026,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.7,12,12,98.022,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.8,12,12,98.019,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
15.9,12,12,98.015,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.0,12,12,98.012,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.1,12,12,98.008,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.2,12,12,98.005,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.3,12,12,98.001,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.4,12,12,97.998,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.5,12,12,97.995,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.6,12,12,97.991,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.7,12,12,97.988,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.8,12,12,97.985,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
16.9,12,12,97.981,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.0,12,12,97.978,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.1,12,12,97.974,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.2,12,12,97.971,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.3,12,12,97.968,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.4,12,12,97.964,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.5,12,12,97.961,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.6,12,12,97.958,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.7,12,12,97.954,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.8,12,12,97.951,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
17.9,12,12,97.948,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.0,12,12,97.944,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.1,12,12,97.941,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.2,12,12,97.938,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.3,12,12,97.935,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.4,12,12,97.931,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.5,12,12,97.928,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.6,12,12,97.925,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.7,12,12,97.921,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.8,12,12,97.918,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
18.9,12,12,97.915,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.0,12,12,97.912,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.1,12,12,97.909,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.2,12,12,97.905,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.3,12,12,97.902,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.4,12,12,97.899,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.5,12,12,97.896,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.6,12,12,97.892,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.7,12,12,97.889,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.8,12,12,97.886,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
19.9,12,12,97.883,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.0,12,12,97.880,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.1,12,12,97.877,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.2,12,12,97.873,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.3,12,12,97.870,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.4,12,12,97.867,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.5,12,12,97.864,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.6,12,12,97.861,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.7,12,12,97.858,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.8,12,12,97.855,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
20.9,12,12,97.851,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.0,12,12,97.848,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.1,12,12,97.845,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.2,12,12,97.842,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.3,12,12,97.839,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.4,12,12,97.836,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.5,12,12,97.833,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.6,12,12,97.830,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.7,12,12,97.827,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.8,12,12,97.824,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
21.9,12,12,97.821,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.0,12,12,97.818,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.1,12,12,97.814,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.2,12,12,97.811,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.3,12,12,97.808,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.4,12,12,97.805,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.5,12,12,97.802,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.6,12,12,97.799,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.7,12,12,97.796,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.8,12,12,97.793,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
22.9,12,12,97.790,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.0,12,12,97.787,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.1,12,12,97.784,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.2,12,12,97.781,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.3,12,12,97.778,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.4,12,12,97.776,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.5,12,12,97.773,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.6,12,12,97.770,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.7,12,12,97.767,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.8,12,12,97.764,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
23.9,12,12,97.761,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.0,12,12,97.758,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.1,12,12,97.755,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.2,12,12,97.752,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.3,12,12,97.749,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.4,12,12,97.746,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.5,12,12,97.743,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.6,12,12,97.741,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.7,12,12,97.738,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.8,12,12,97.735,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
24.9,12,12,97.732,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.0,12,12,97.729,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.1,12,12,97.726,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.2,12,12,97.723,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.3,12,12,97.721,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.4,12,12,97.718,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.5,12,12,97.715,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.6,12,12,97.712,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.7,12,12,97.709,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.8,12,12,97.707,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
25.9,12,12,97.704,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
26.0,12,12,97.701,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
26.1,12,12,97.698,0,1584-381-380-379-357-335-313-291-269-247-225-224-1585
26.2,10,10,91.064,1,1584-316-315-314-313-291-269-247-225-224-1585
26.3,10,10,91.062,0,1584-316-315-314-313-291-269-247-225-224-1585
26.4,10,10,91.060,0,1584-316-315-314-313-291-269-247-225-224-1585
26.5,10,10,91.059,0,1584-316-315-314-313-291-269-247-225-224-1585
26.6,10,10,91.057,0,1584-316-315-314-313-291-269-247-225-224-1585
26.7,10,10,91.055,0,1584-316-315-314-313-291-269-247-225-224-1585
26.8,10,10,91.053,0,1584-316-315-314-313-291-269-247-225-224-1585
26.9,10,10,91.052,0,1584-316-315-314-313-291-269-247-225-224-1585
27.0,10,10,91.050,0,1584-316-315-314-313-291-269-247-225-224-1585
27.1,10,10,91.048,0,1584-316-315-314-313-291-269-247-225-224-1585
27.2,10,10,91.047,0,1584-316-315-314-313-291-269-247-225-224-1585
27.3,10,10,91.045,0,1584-316-315-314-313-291-269-247-225-224-1585
27.4,10,10,91.043,0,1584-316-315-314-313-291-269-247-225-224-1585
27.5,10,10,91.042,0,1584-316-315-314-313-291-269-247-225-224-1585
27.6,10,10,91.040,0,1584-316-315-314-313-291-269-247-225-224-1585
27.7,10,10,91.038,0,1584-316-315-314-313-291-269-247-225-224-1585
27.8,10,10,91.037,0,1584-316-315-314-313-291-269-247-225-224-1585
27.9,10,10,91.035,0,1584-316-315-314-313-291-269-247-225-224-1585
28.0,10,10,91.033,0,1584-316-315-314-313-291-269-247-225-224-1585
28.1,10,10,91.032,0,1584-316-315-314-313-291-269-247-225-224-1585
28.2,10,10,91.030,0,1584-316-315-314-313-291-269-247-225-224-1585
28.3,10,10,91.028,0,1584-316-315-314-313-291-269-247-225-224-1585
28.4,10,10,91.027,0,1584-316-315-314-313-291-269-247-225-224-1585
28.5,10,10,91.025,0,1584-316-315-314-313-291-269-247-225-224-1585
28.6,10,10,91.024,0,1584-316-315-314-313-291-269-247-225-224-1585
28.7,10,10,91.022,0,1584-316-315-314-313-291-269-247-225-224-1585
28.8,10,10,91.020,0,1584-316-315-314-313-291-269-247-225-224-1585
28.9,10,10,91.019,0,1584-316-315-314-313-291-269-247-225-224-1585
29.0,10,10,91.017,0,1584-316-315-314-313-291-269-247-225-224-1585
29.1,10,10,91.016,0,1584-316-315-314-313-291-269-247-225-224-1585
29.2,10,10,91.014,0,1584-316-315-314-313-291-269-247-225-224-1585
29.3,10,10,91.012,0,1584-316-315-314-313-291-269-247-225-224-1585
29.4,10,10,91.011,0,1584-316-315-314-313-291-269-247-225-224-1585
29.5,10,10,91.009,0,1584-316-315-314-313-291-269-247-225-224-1585
29.6,10,10,91.008,0,1584-316-315-314-313-291-269-247-225-224-1585
29.7,10,10,91.006,0,1584-316-315-314-313-291-269-247-225-224-1585
29.8,10,10,91.005,0,1584-316-315-314-313-291-269-247-225-224-1585
29.9,10,10,91.003,0,1584-316-315-314-313-291-269-247-225-224-1585
30.0,10,10,91.002,0,1584-316-315-314-313-291-269-247-225-224-1585
30.1,10,10,91.000,0,1584-316-315-314-313-291-269-247-225-224-1585
30.2,10,10,90.999,0,1584-316-315-314-313-291-269-247-225-224-1585
30.3,10,10,90.997,0,1584-316-315-314-313-291-269-247-225-224-1585
30.4,10,10,90.996,0,1584-316-315-314-313-291-269-247-225-224-1585
30.5,10,10,90.994,0,1584-316-315-314-313-291-269-247-225-224-1585
30.6,10,10,90.993,0,1584-316-315-314-313-291-269-247-225-224-1585
30.7,10,10,90.991,0,1584-316-315-314-313-291-269-247-225-224-1585
30.8,10,10,90.990,0,1584-316-315-314-313-291-269-247-225-224-1585
30.9,10,10,90.988,0,1584-316-315-314-313-291-269-247-225-224-1585
31.0,10,10,90.987,0,1584-316-315-314-313-291-269-247-225-224-1585
31.1,10,10,90.986,0,1584-316-315-314-313-291-269-247-225-224-1585
31.2,10,10,90.984,0,1584-316-315-314-313-291-269-247-225-224-1585
31.3,10,10,90.983,0,1584-316-315-314-313-291-269-247-225-224-1585
31.4,10,10,90.981,0,1584-316-315-314-313-291-269-247-225-224-1585
31.5,10,10,90.980,0,1584-316-315-314-313-291-269-247-225-224-1585
31.6,10,10,90.978,0,1584-316-315-314-313-291-269-247-225-224-1585
31.7,10,10,90.977,0,1584-316-315-314-313-291-269-247-225-224-1585
31.8,10,10,90.976,0,1584-316-315-314-313-291-269-247-225-224-1585
31.9,10,10,90.974,0,1584-316-315-314-313-291-269-247-225-224-1585
32.0,10,10,90.973,0,1584-316-315-314-313-291-269-247-225-224-1585
32.1,10,10,90.972,0,1584-316-315-314-313-291-269-247-225-224-1585
32.2,10,10,90.970,0,1584-316-315-314-313-291-269-247-225-224-1585
32.3,10,10,90.969,0,1584-316-315-314-313-291-269-247-225-224-1585
32.4,10,10,90.967,0,1584-316-315-314-313-291-269-247-225-224-1585
32.5,10,10,90.966,0,1584-316-315-314-313-291-269-247-225-224-1585
32.6,10,10,90.965,0,1584-316-315-314-313-291-269-247-225-224-1585
32.7,10,10,90.963,0,1584-316-315-314-313-291-269-247-225-224-1585
32.8,10,10,90.962,0,1584-316-315-314-313-291-269-247-225-224-1585
32.9,10,10,90.961,0,1584-316-315-314-313-291-269-247-225-224-1585
33.0,10,10,90.959,0,1584-316-315-314-313-291-269-247-225-224-1585
33.1,10,10,90.958,0,1584-316-315-314-313-291-269-247-225-224-1585
33.2,10,10,90.957,0,1584-316-315-314-313-291-269-247-225-224-1585
33.3,10,10,90.956,0,1584-316-315-314-313-291-269-247-225-224-1585
33.4,10,10,90.954,0,1584-316-315-314-313-291-269-247-225-224-1585
33.5,10,10,90.953,0,1584-316-315-314-313-291-269-247-225-224-1585
33.6,10,10,90.952,0,1584-316-315-314-313-291-269-247-225-224-1585
33.7,10,10,90.950,0,1584-316-315-314-313-291-269-247-225-224-1585
33.8,10,10,90.949,0,1584-316-315-314-313-291-269-247-225-224-1585
33.9,10,10,90.948,0,1584-316-315-314-313-291-269-247-225-224-1585
